size: 1000
watkow;  1
sum; mnozenie
6802;11348
watkow;  2
sum; mnozenie
3614;5950
watkow;  3
sum; mnozenie
2373;3939
watkow;  4
sum; mnozenie
1770;2898
watkow;  5
sum; mnozenie
2100;3304
watkow;  6
sum; mnozenie
1802;2851
watkow;  7
sum; mnozenie
1751;2707
watkow;  8
sum; mnozenie
1725;2639
watkow;  9
sum; mnozenie
1743;2770
watkow;  10
sum; mnozenie
1726;2810
watkow;  11
sum; mnozenie
1743;2832
watkow;  12
sum; mnozenie
1751;2765
watkow;  13
sum; mnozenie
1753;2803
watkow;  14
sum; mnozenie
1732;2751
watkow;  15
sum; mnozenie
1755;2786
size: 2000
watkow;  1
sum; mnozenie
27274;143342
watkow;  2
sum; mnozenie
14137;71954
watkow;  3
sum; mnozenie
9717;47188
watkow;  4
sum; mnozenie
7122;35978
watkow;  5
sum; mnozenie
8466;39352
watkow;  6
sum; mnozenie
7144;32388
watkow;  7
sum; mnozenie
7088;31410
watkow;  8
sum; mnozenie
6927;29913
watkow;  9
sum; mnozenie
6898;32088
watkow;  10
sum; mnozenie
6912;32135
watkow;  11
sum; mnozenie
6965;32353
watkow;  12
sum; mnozenie
6922;32569
watkow;  13
sum; mnozenie
6916;32625
watkow;  14
sum; mnozenie
6899;32377
watkow;  15
sum; mnozenie
6994;32545
size: 5000
watkow;  1
sum; mnozenie
size: 5000
watkow;  1
sum; mnozenie
