size: 1000
watkow;  1
sum; mnozenie
6810;11312
watkow;  2
sum; mnozenie
3549;5753
watkow;  3
sum; mnozenie
2349;3834
watkow;  4
sum; mnozenie
1769;2892
watkow;  5
sum; mnozenie
2127;3378
watkow;  6
sum; mnozenie
1775;2803
watkow;  7
sum; mnozenie
1753;2723
watkow;  8
sum; mnozenie
1714;2637
watkow;  9
sum; mnozenie
1748;2791
watkow;  10
sum; mnozenie
1818;2881
watkow;  11
sum; mnozenie
1764;2846
watkow;  12
sum; mnozenie
1739;2790
watkow;  13
sum; mnozenie
1739;2847
watkow;  14
sum; mnozenie
1742;2774
watkow;  15
sum; mnozenie
1734;2805
size: 2000
watkow;  1
sum; mnozenie
27277;143440
watkow;  2
sum; mnozenie
14135;71115
watkow;  3
sum; mnozenie
9364;47534
watkow;  4
sum; mnozenie
7091;36178
watkow;  5
sum; mnozenie
8501;37883
watkow;  6
sum; mnozenie
7039;32129
watkow;  7
sum; mnozenie
7026;30929
watkow;  8
sum; mnozenie
6936;29450
watkow;  9
sum; mnozenie
6970;32298
watkow;  10
sum; mnozenie
7177;32461
watkow;  11
sum; mnozenie
6976;32535
watkow;  12
sum; mnozenie
6879;32321
watkow;  13
sum; mnozenie
6950;32307
watkow;  14
sum; mnozenie
6945;32534
watkow;  15
sum; mnozenie
6926;32341
size: 5000
watkow;  1
sum; mnozenie
